,sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,detection_history.o4,year,FID_allNY_,FID_allNY_10km
982,101,340616,4682828,0,1,0,NA,2015,4395,4396
983,102,343098,4683231,0,0,0,NA,2015,235,236
984,103,380141,4683081,0,0,0,NA,2015,10106,10107
985,104,381588,4682012,0,0,0,NA,2015,2993,2994
986,107,410579,4681916,0,0,0,NA,2015,2615,2616
987,108,435685,4683074,0,0,0,NA,2015,461,462
988,109,440459,4682592,0,0,0,NA,2015,6825,6826
989,110,443537,4681786,0,0,0,NA,2015,12780,12781
990,111,448448,4682995,0,0,0,NA,2015,7370,7371
991,112,451210,4682379,0,0,0,NA,2015,5883,5884
992,114,466630,4680951,0,0,0,NA,2015,4694,4695
993,115,471392,4682794,0,0,1,NA,2015,6520,6521
994,116,484305,4681269,0,0,0,NA,2015,7753,7754
995,117,486323,4682058,0,1,0,NA,2015,6391,6392
996,118,492082,4683282,0,1,0,NA,2015,12280,12281
997,119,495455,4682470,0,0,0,NA,2015,12905,12906
998,121,122477,4686713,0,0,0,NA,2015,8703,8704
999,122,126054,4686417,0,0,0,NA,2015,6801,6802
1000,124,135624,4686013,0,0,0,NA,2015,7445,7446
1001,125,173595,4686806,1,0,NA,NA,2015,4016,4017
1002,126,226374,4685333,0,0,0,NA,2015,1323,1324
1003,127,232191,4688234,0,0,0,NA,2015,5475,5476
1004,130,287659,4687461,0,0,0,NA,2015,6726,6727
1005,131,297052,4686172,0,0,0,NA,2015,2847,2848
1006,132,301707,4686401,0,0,0,NA,2015,11174,11175
1007,133,305242,4685855,0,0,0,NA,2015,4710,4711
1008,135,325603,4685834,0,0,0,NA,2015,6306,6307
1009,138,335529,4686895,0,0,0,NA,2015,3396,3397
1010,139,361861,4684705,0,0,0,NA,2015,6756,6757
1011,140,366770,4687211,0,0,0,NA,2015,12862,12863
1012,141,371362,4687131,0,0,0,NA,2015,9448,9449
1013,142,378583,4686627,0,0,0,NA,2015,5573,5574
1014,143,382030,4686028,1,0,0,NA,2015,8944,8945
1015,144,386239,4686167,0,0,0,NA,2015,7474,7475
1016,147,406231,4687148,0,0,0,NA,2015,7379,7380
1017,148,409492,4687655,0,0,0,NA,2015,11212,11213
1018,150,445249,4686319,0,1,0,NA,2015,7195,7196
1019,151,449715,4687282,0,0,0,NA,2015,8467,8468
1020,152,481339,4686782,0,0,0,NA,2015,1339,1340
1021,153,485379,4686748,0,0,0,NA,2015,8725,8726
1022,154,491349,4686299,0,0,0,NA,2015,9630,9631
1023,155,493476,4687538,0,0,0,NA,2015,7484,7485
1024,156,499432,4686440,0,1,1,NA,2015,10456,10457
1025,157,510623,4686944,0,1,0,NA,2015,584,585
1026,159,123046,4691043,0,0,0,NA,2015,11189,11190
1027,160,127502,4691441,0,0,0,NA,2015,7209,7210
1028,161,130225,4690206,0,0,0,NA,2015,10592,10593
1029,162,135465,4691261,0,0,0,NA,2015,4550,4551
1030,163,138543,4690089,0,0,0,NA,2015,2955,2956
1031,164,154871,4689763,1,0,0,NA,2015,8407,8408
1032,166,170843,4690380,0,0,0,NA,2015,4178,4179
1033,167,171759,4689350,0,0,0,NA,2015,4178,4179
1034,168,188255,4690640,0,0,0,NA,2015,9682,9683
1035,174,250977,4689155,0,0,0,NA,2015,1542,1543
1036,180,293284,4686549,0,0,0,NA,2015,436,437
1037,181,297781,4691512,0,0,0,NA,2015,9005,9006
1038,182,288973,4702581,1,0,1,NA,2015,6948,6949
1039,183,322883,4690669,0,NA,NA,NA,2015,12588,12589
1040,184,329607,4689724,0,0,0,NA,2015,4554,4555
1041,186,335601,4689612,0,0,0,NA,2015,9010,9011
1042,188,359146,4693161,0,NA,NA,NA,2015,12151,12152
1043,189,364263,4691303,0,0,0,NA,2015,4108,4109
1044,190,367000,4690560,0,0,0,NA,2015,238,239
1045,191,382708,4690211,1,0,0,NA,2015,7137,7138
1046,192,386943,4690418,NA,NA,NA,NA,2015,39,40
1047,194,408579,4690634,0,0,0,NA,2015,4723,4724
1048,195,297189,4709163,NA,NA,0,NA,2015,11249,11250
1049,197,425736,4690961,0,1,1,NA,2015,9737,9738
1050,200,493613,4689229,0,0,0,NA,2015,8922,8923
1051,201,498770,4691301,0,0,0,NA,2015,6005,6006
1052,202,502978,4690272,0,0,0,NA,2015,398,399
1053,203,510371,4690905,1,0,0,NA,2015,12266,12267
1054,204,513483,4689983,0,0,0,NA,2015,12266,12267
1055,205,521944,4690259,0,0,0,NA,2015,12381,12382
1056,206,150641,4693350,0,0,0,NA,2015,5423,5424
1057,207,154265,4695656,0,0,0,NA,2015,12797,12798
1058,209,162081,4693977,NA,NA,0,NA,2015,8342,8343
1059,210,166431,4693685,0,0,0,NA,2015,1428,1429
1060,212,174827,4694676,0,0,NA,NA,2015,434,435
1061,213,185036,4692344,0,0,0,NA,2015,2325,2326
1062,214,189838,4694662,0,0,0,NA,2015,7293,7294
1063,216,225282,4695666,0,0,0,NA,2015,8030,8031
1064,217,226176,4693922,0,0,0,NA,2015,6820,6821
1065,218,232571,4692621,0,0,0,NA,2015,7359,7360
1066,219,236112,4694001,0,0,0,NA,2015,6297,6298
1067,220,238601,4694637,0,0,0,NA,2015,2005,2006
1068,222,251835,4695937,0,0,0,NA,2015,7428,7429
1069,223,255484,4694998,0,0,0,NA,2015,9392,9393
1070,224,269755,4696100,0,0,0,NA,2015,199,200
1071,225,272579,4695809,0,0,0,NA,2015,9850,9851
1072,226,323701,4694356,NA,NA,0,NA,2015,8668,8669
1073,227,328819,4692506,NA,NA,NA,NA,2015,5339,5340
1074,228,363851,4693573,0,NA,NA,NA,2015,4960,4961
1075,232,420152,4695362,0,0,0,NA,2015,5642,5643
1076,233,424351,4693462,0,0,0,NA,2015,4231,4232
1077,234,430200,4694613,0,1,0,NA,2015,11175,11176
1078,236,471080,4692788,1,0,0,NA,2015,2331,2332
1079,237,474725,4692922,0,0,0,NA,2015,10759,10760
1080,238,492746,4695158,0,0,0,NA,2015,5624,5625
1081,239,495024,4695063,0,0,0,NA,2015,7050,7051
1082,240,499951,4695260,0,0,0,NA,2015,9239,9240
1083,241,501461,4695259,0,0,0,NA,2015,362,363
1084,242,510442,4695696,0,0,0,NA,2015,630,631
1085,243,514615,4694553,0,0,0,NA,2015,4409,4410
1086,244,518885,4694182,0,0,0,NA,2015,11570,11571
1087,245,521413,4695306,0,0,0,NA,2015,4425,4426
1088,246,139047,4698525,0,0,0,NA,2015,8141,8142
1089,248,150672,4698485,0,0,0,NA,2015,5871,5872
1090,249,153689,4698497,0,0,0,NA,2015,1874,1875
1091,250,161087,4697607,1,0,0,NA,2015,9404,9405
1092,251,165759,4698512,0,0,0,NA,2015,11270,11271
1093,255,184345,4697934,0,0,0,NA,2015,7376,7377
1094,257,226185,4698797,0,0,0,NA,2015,2429,2430
1095,258,247502,4697587,0,0,0,NA,2015,10863,10864
1096,259,250551,4699306,0,0,0,NA,2015,3462,3463
1097,261,266928,4699061,0,NA,0,NA,2015,5468,5469
1098,262,269523,4696692,0,0,0,NA,2015,199,200
1099,264,386251,4697314,NA,NA,NA,NA,2015,12175,12176
1100,265,390694,4698637,NA,NA,NA,NA,2015,8723,8724
1101,271,425438,4699091,0,0,0,NA,2015,3788,3789
1102,273,469938,4698793,0,1,0,NA,2015,7100,7101
1103,274,475513,4699216,0,0,0,NA,2015,6417,6418
1104,275,478310,4697985,0,0,0,NA,2015,423,424
1105,276,513897,4699243,0,0,0,NA,2015,11106,11107
1106,277,540347,4698153,0,0,0,NA,2015,7394,7395
1107,278,544028,4695818,0,0,0,NA,2015,10389,10390
1108,279,551842,4696356,0,0,0,NA,2015,10907,10908
1109,280,134194,4701320,0,0,0,NA,2015,8578,8579
1110,281,137909,4702636,NA,NA,0,NA,2015,3125,3126
1111,282,142593,4701718,0,0,1,NA,2015,5102,5103
1112,283,165550,4701387,0,0,0,NA,2015,11141,11142
1113,284,169459,4701714,0,0,0,NA,2015,324,325
1114,286,184687,4702003,0,0,0,NA,2015,5857,5858
1115,287,189081,4703991,0,0,0,NA,2015,77,78
1116,288,204020,4702442,0,0,0,NA,2015,8150,8151
1117,289,208722,4702328,0,0,0,NA,2015,2954,2955
1118,292,261930,4701300,0,0,0,NA,2015,5091,5092
1119,293,264403,4700478,0,0,0,NA,2015,11909,11910
1120,294,293335,4701639,NA,NA,NA,NA,2015,3652,3653
1121,295,239711,4714413,0,0,0,NA,2015,6183,6184
1122,296,321162,4712323,0,NA,NA,NA,2015,2619,2620
1123,297,304766,4702182,0,0,0,NA,2015,5140,5141
1124,298,308688,4702278,0,0,1,NA,2015,12727,12728
1125,299,313460,4702237,0,0,0,NA,2015,12293,12294
1126,300,393223,4717778,0,0,0,NA,2015,4859,4860
1127,301,304762,4719152,0,0,0,NA,2015,5930,5931
1128,302,389745,4702040,0,0,0,NA,2015,7622,7623
1129,303,392652,4701887,0,0,0,NA,2015,2308,2309
1130,304,398933,4702744,0,0,0,NA,2015,737,738
1131,305,401960,4701700,0,0,0,NA,2015,4933,4934
1132,307,460308,4700832,0,0,0,NA,2015,7207,7208
1133,309,470652,4700436,0,0,0,NA,2015,7100,7101
1134,310,476664,4701915,0,0,0,NA,2015,3972,3973
1135,311,538501,4703944,0,0,0,NA,2015,10117,10118
1136,312,541447,4702481,0,0,0,NA,2015,574,575
1137,313,543991,4702066,1,0,0,NA,2015,4379,4380
1138,314,549040,4701722,0,0,0,NA,2015,6932,6933
1139,315,552516,4703021,1,1,0,NA,2015,4730,4731
1140,316,138198,4705227,0,0,1,NA,2015,12488,12489
1141,317,143898,4704848,0,0,0,NA,2015,10287,10288
1142,318,204510,4706072,0,0,0,NA,2015,7319,7320
1143,319,207359,4705130,0,0,0,NA,2015,10421,10422
1144,320,234509,4705812,0,0,0,NA,2015,10571,10572
1145,321,238811,4704338,1,NA,0,NA,2015,10772,10773
1146,324,262529,4704955,0,0,0,NA,2015,2791,2792
1147,326,289956,4706458,0,0,0,NA,2015,12838,12839
1148,327,292881,4706210,0,0,0,NA,2015,967,968
1149,328,388846,4720501,0,0,0,NA,2015,6016,6017
1150,329,393804,4724955,0,1,0,NA,2015,5839,5840
1151,330,304310,4707023,0,0,0,NA,2015,2024,2025
1152,331,308847,4705181,0,0,0,NA,2015,10019,10020
1153,332,313796,4705347,0,0,0,NA,2015,1643,1644
1154,333,298149,4724517,0,0,0,NA,2015,12651,12652
1155,334,301324,4725184,0,0,0,NA,2015,11618,11619
1156,335,336809,4705016,0,1,NA,NA,2015,4634,4635
1157,336,339753,4705611,0,1,0,NA,2015,2039,2040
1158,337,303503,4725853,0,0,0,NA,2015,3764,3765
1159,338,403198,4704532,0,0,1,NA,2015,87,88
1160,340,308526,4725909,NA,NA,NA,NA,2015,11767,11768
1161,341,461440,4706569,0,0,0,NA,2015,6601,6602
1162,342,487315,4705520,0,0,0,NA,2015,8172,8173
1163,343,490705,4706834,0,0,0,NA,2015,2788,2789
1164,344,495694,4706636,0,0,0,NA,2015,11296,11297
1165,345,514544,4705700,0,0,0,NA,2015,4124,4125
1166,346,517486,4707004,0,0,0,NA,2015,5335,5336
1167,347,540229,4704278,0,0,0,NA,2015,574,575
1168,348,552313,4704690,0,0,0,NA,2015,12937,12938
1169,350,208031,4709660,0,0,0,NA,2015,8557,8558
1170,351,231430,4709575,0,0,0,NA,2015,11968,11969
1171,352,236151,4711047,0,0,0,NA,2015,10097,10098
1172,353,239354,4709913,0,0,0,NA,2015,9411,9412
1173,356,288670,4709222,0,0,0,NA,2015,3578,3579
1174,357,293087,4710014,0,0,0,NA,2015,9092,9093
1175,358,331947,4708921,0,0,0,NA,2015,4029,4030
1176,359,335285,4708559,0,0,0,NA,2015,7732,7733
1177,360,339628,4709756,0,0,0,NA,2015,6709,6710
1178,361,403239,4710710,0,0,0,NA,2015,5449,5450
1179,363,444454,4708985,0,0,0,NA,2015,297,298
1180,364,446639,4709020,0,0,0,NA,2015,297,298
1181,365,450701,4710798,0,0,0,NA,2015,852,853
1182,366,459865,4710218,0,0,0,NA,2015,8164,8165
1183,367,464568,4708607,0,0,0,NA,2015,6093,6094
1184,368,486819,4710497,0,0,0,NA,2015,8669,8670
1185,369,491622,4709890,0,0,0,NA,2015,4025,4026
1186,370,494563,4710475,0,0,0,NA,2015,12754,12755
1187,371,509544,4710063,0,0,0,NA,2015,9935,9936
1188,372,514550,4709032,0,0,0,NA,2015,4121,4122
1189,373,517896,4710314,0,0,0,NA,2015,9609,9610
1190,374,520231,4708721,0,0,0,NA,2015,8851,8852
1191,375,236667,4713158,0,0,0,NA,2015,10097,10098
1192,376,397350,4725531,0,0,0,NA,2015,6101,6102
1193,377,339286,4714410,0,0,0,NA,2015,5178,5179
1194,378,425447,4713957,0,0,0,NA,2015,4766,4767
1195,379,428210,4712367,1,0,0,NA,2015,685,686
1196,380,449285,4714983,0,0,0,NA,2015,875,876
1197,381,452398,4713642,0,0,0,NA,2015,852,853
1198,382,464478,4712770,1,1,0,NA,2015,291,292
1199,383,476327,4713818,0,0,0,NA,2015,10533,10534
1200,384,477916,4712911,0,0,0,NA,2015,10533,10534
1201,385,491498,4713981,0,0,0,NA,2015,134,135
1202,386,517474,4713073,0,NA,0,NA,2015,3382,3383
1203,387,523242,4712263,0,0,0,NA,2015,1263,1264
1204,388,525333,4712504,0,0,0,NA,2015,1263,1264
1205,389,393803,4724952,0,0,1,NA,2015,5839,5840
1206,390,320408,4718034,0,0,0,NA,2015,9323,9324
1207,391,424299,4717621,0,0,0,NA,2015,3735,3736
1208,392,428182,4716828,0,0,0,NA,2015,2346,2347
1209,393,465592,4717674,0,0,0,NA,2015,11519,11520
1210,394,467841,4717716,0,0,0,NA,2015,8007,8008
1211,395,475131,4717571,0,0,0,NA,2015,4516,4517
1212,396,479739,4717687,0,0,0,NA,2015,881,882
1213,397,483191,4716589,0,0,0,NA,2015,11049,11050
1214,398,499161,4716872,0,0,0,NA,2015,1012,1013
1215,399,501167,4717267,0,0,0,NA,2015,6351,6352
1216,400,517436,4716489,0,0,0,NA,2015,3173,3174
1217,401,523192,4716944,0,0,0,NA,2015,1122,1123
1218,402,547435,4717819,0,0,0,NA,2015,9796,9797
1219,403,551714,4716417,0,0,0,NA,2015,3299,3300
1220,404,389054,4727607,0,0,0,NA,2015,8815,8816
1221,405,309388,4737352,0,1,1,NA,2015,5068,5069
1222,406,320328,4720572,0,0,0,NA,2015,1621,1622
1223,407,324443,4720704,0,0,0,NA,2015,8581,8582
1224,409,479487,4721592,0,0,0,NA,2015,11231,11232
1225,410,493834,4720892,0,0,0,NA,2015,7189,7190
1226,411,498693,4720811,0,0,0,NA,2015,437,438
1227,412,502491,4721227,0,0,0,NA,2015,10879,10880
1228,413,506371,4723142,0,0,0,NA,2015,1866,1867
1229,414,548933,4719535,0,0,1,NA,2015,11118,11119
1230,415,551434,4721218,0,0,0,NA,2015,9022,9023
1231,416,557782,4721162,0,0,0,NA,2015,3132,3133
1232,417,560464,4720023,0,0,0,NA,2015,8206,8207
1233,418,311534,4743507,0,0,1,NA,2015,2543,2544
1234,421,324283,4725772,0,0,0,NA,2015,9671,9672
1235,422,435606,4724618,0,0,0,NA,2015,6567,6568
1236,424,498734,4725202,0,0,0,NA,2015,5757,5758
1237,425,502752,4726087,0,0,NA,NA,2015,2380,2381
1238,426,560466,4724384,0,0,0,NA,2015,6362,6363
1239,428,463555,4740935,0,0,0,NA,2015,2424,2425
1240,429,421774,4728689,0,0,0,NA,2015,1524,1525
1241,430,435510,4728215,0,0,0,NA,2015,2967,2968
1242,431,441657,4728483,0,0,0,NA,2015,6691,6692
1243,432,521318,4728729,0,0,0,NA,2015,11973,11974
1244,433,524879,4729037,0,0,0,NA,2015,12243,12244
1245,434,528957,4729408,0,0,0,NA,2015,11183,11184
1246,435,532191,4728608,0,1,0,NA,2015,8762,8763
1247,437,417828,4732678,0,0,0,NA,2015,4371,4372
1248,438,420872,4732917,0,0,0,NA,2015,2956,2957
1249,439,425195,4732060,0,0,0,NA,2015,5799,5800
1250,440,435062,4732154,0,0,0,NA,2015,11200,11201
1251,441,442172,4733939,0,0,0,NA,2015,4266,4267
1252,444,482355,4733362,0,0,1,NA,2015,3956,3957
1253,445,485974,4733542,0,0,0,NA,2015,1041,1042
1254,446,490272,4733854,NA,0,0,NA,2015,4329,4330
1255,447,502477,4733145,0,1,1,NA,2015,3026,3027
1256,448,505257,4734029,0,0,0,NA,2015,5266,5267
1257,449,509484,4733697,0,0,1,NA,2015,1310,1311
1258,450,521824,4733385,0,0,0,NA,2015,7623,7624
1259,451,525808,4733099,0,1,1,NA,2015,5620,5621
1260,452,528591,4733558,0,NA,0,NA,2015,2438,2439
1261,453,303919,4729146,0,0,0,NA,2015,983,984
1262,454,297354,4736832,0,0,0,NA,2015,1903,1904
1263,455,301355,4736754,0,0,0,NA,2015,3918,3919
1264,456,305387,4737311,0,0,1,NA,2015,5207,5208
1265,458,468392,4737737,0,0,0,NA,2015,9192,9193
1266,460,482900,4736545,NA,0,0,NA,2015,6209,6210
1267,461,486149,4736473,0,0,1,NA,2015,12083,12084
1268,462,503738,4736271,0,0,0,NA,2015,9713,9714
1269,463,505582,4736779,0,0,0,NA,2015,4565,4566
1270,464,522217,4737227,0,0,0,NA,2015,7897,7898
1271,465,524795,4737755,0,0,0,NA,2015,281,282
1272,467,304557,4740757,0,0,0,NA,2015,11866,11867
1273,468,309989,4740222,0,0,0,NA,2015,4412,4413
1274,469,467588,4739888,0,0,0,NA,2015,1525,1526
1275,470,470925,4741553,0,0,0,NA,2015,5448,5449
1276,472,483337,4740535,0,0,0,NA,2015,5977,5978
1277,473,485817,4740385,0,0,0,NA,2015,9735,9736
1278,474,491299,4740702,0,0,0,NA,2015,2880,2881
1279,475,503389,4741374,0,0,0,NA,2015,10660,10661
1280,476,506504,4740439,0,0,0,NA,2015,5808,5809
1281,477,408468,4748727,0,0,0,NA,2015,12028,12029
1282,478,412019,4748960,0,0,0,NA,2015,4386,4387
1283,479,467299,4745763,0,0,0,NA,2015,12081,12082
1284,480,472744,4743707,0,0,0,NA,2015,7755,7756
1285,484,359247,4771684,0,0,1,NA,2015,5582,5583
1286,485,405585,4750750,0,0,0,NA,2015,12238,12239
1287,486,409769,4752137,0,0,0,NA,2015,12839,12840
1288,487,355309,4775554,0,1,1,NA,2015,2316,2317
1289,488,359413,4775631,0,0,0,NA,2015,6139,6140
1290,489,363280,4775727,0,0,0,NA,2015,5965,5966
1291,490,455868,4775575,0,1,NA,NA,2015,7980,7981
1292,491,460136,4774809,0,1,0,NA,2015,8789,8790
1293,492,462913,4775341,0,0,NA,NA,2015,8789,8790
1294,493,412975,4754383,0,0,0,NA,2015,3828,3829
1295,496,324736,4779463,0,1,1,NA,2015,5760,5761
1296,497,455604,4756924,0,0,0,NA,2015,4002,4003
1297,498,332223,4779069,0,0,0,NA,2015,694,695
1298,499,355483,4779652,0,0,0,NA,2015,2575,2576
1299,500,359472,4779353,0,0,0,NA,2015,8262,8263
1300,501,442716,4780525,0,0,0,NA,2015,11327,11328
1301,502,447359,4778640,0,0,0,NA,2015,6219,6220
1302,503,458894,4779204,0,0,1,NA,2015,6452,6453
1303,504,463381,4779425,0,0,0,NA,2015,9031,9032
1304,505,467372,4779412,0,1,0,NA,2015,10751,10752
1305,507,316892,4783652,NA,NA,NA,NA,2015,4141,4142
1306,508,320156,4783658,0,0,0,NA,2015,8783,8784
1307,509,324259,4782809,0,1,1,NA,2015,1016,1017
1308,510,444787,4759885,0,0,0,NA,2015,75,76
1309,511,332705,4782885,0,0,0,NA,2015,9007,9008
1310,512,447684,4759939,0,0,0,NA,2015,6039,6040
1311,513,452702,4760147,0,0,0,NA,2015,6320,6321
1312,514,457080,4758636,0,0,1,NA,2015,10047,10048
1313,515,444296,4784850,0,1,0,NA,2015,5549,5550
1314,516,448548,4782591,NA,0,0,NA,2015,4525,4526
1315,517,455709,4762575,0,0,1,NA,2015,2848,2849
1316,518,340849,4775579,0,0,0,NA,2015,5123,5124
1317,519,321088,4787034,0,0,0,NA,2015,10481,10482
1318,520,324047,4786971,0,0,0,NA,2015,6176,6177
1319,521,336000,4779504,0,0,0,NA,2015,2228,2229
1320,522,339916,4779229,0,0,1,NA,2015,10850,10851
1321,523,355705,4787701,0,0,0,NA,2015,4230,4231
1322,524,358292,4787008,0,0,0,NA,2015,4230,4231
1323,525,363026,4787073,0,0,0,NA,2015,9317,9318
1324,526,468305,4788228,1,0,0,NA,2015,12125,12126
1325,527,355327,4791216,0,0,0,NA,2015,2026,2027
1326,528,358667,4791919,0,0,0,NA,2015,11196,11197
1327,529,362873,4791081,0,0,1,NA,2015,6222,6223
1328,530,429415,4790180,0,0,0,NA,2015,6874,6875
1329,531,431537,4789565,0,0,0,NA,2015,6677,6678
1330,532,436866,4791048,0,0,1,NA,2015,7585,7586
1331,533,466852,4791062,0,0,1,NA,2015,5947,5948
1332,534,470792,4790246,0,NA,0,NA,2015,8308,8309
1333,535,474779,4790905,0,0,0,NA,2015,484,485
1334,536,359260,4794567,0,1,0,NA,2015,1878,1879
1335,537,362950,4795069,0,0,0,NA,2015,2155,2156
1336,538,428504,4793314,0,0,0,NA,2015,9120,9121
1337,539,433860,4795945,0,0,0,NA,2015,8208,8209
1338,540,438013,4794868,0,0,0,NA,2015,1791,1792
1339,541,444269,4794263,0,0,0,NA,2015,8288,8289
1340,542,475848,4793354,1,0,0,NA,2015,1274,1275
1341,543,479951,4794259,0,1,1,NA,2015,12869,12870
1342,544,410704,4799247,0,1,0,NA,2015,2672,2673
1343,545,412624,4797603,0,0,0,NA,2015,6054,6055
1344,546,417268,4798908,0,0,0,NA,2015,3112,3113
1345,547,421002,4799400,0,0,0,NA,2015,3931,3932
1346,548,440802,4799273,1,0,0,NA,2015,6519,6520
1347,549,445729,4800118,0,0,0,NA,2015,6504,6505
1348,550,448348,4799968,0,0,0,NA,2015,2502,2503
1349,551,467571,4798186,0,1,0,NA,2015,10218,10219
1350,552,470850,4800842,0,0,0,NA,2015,12606,12607
1351,553,474768,4799261,0,0,0,NA,2015,12425,12426
1352,554,478006,4798375,0,0,0,NA,2015,6533,6534
1353,555,409698,4802767,0,0,0,NA,2015,5353,5354
1354,556,413640,4803071,0,0,0,NA,2015,6808,6809
1355,557,416728,4803713,0,0,0,NA,2015,4140,4141
1356,558,440235,4803287,0,0,0,NA,2015,2959,2960
1357,559,444658,4802314,NA,NA,0,NA,2015,6504,6505
1358,560,447553,4804307,0,0,0,NA,2015,5203,5204
1359,561,452351,4802728,0,0,0,NA,2015,2583,2584
1360,562,458177,4804390,0,0,0,NA,2015,2383,2384
1361,563,464156,4804629,0,0,0,NA,2015,2358,2359
1362,564,466307,4804614,0,0,0,NA,2015,8097,8098
1363,565,470713,4802873,0,NA,NA,NA,2015,9268,9269
1364,566,412911,4806251,0,0,0,NA,2015,9253,9254
1365,567,424477,4808069,0,0,0,NA,2015,690,691
1366,568,430775,4808332,0,0,0,NA,2015,6603,6604
1367,569,434092,4808339,0,0,0,NA,2015,2702,2703
1368,570,439779,4806183,0,0,0,NA,2015,7922,7923
1369,571,446619,4804694,0,0,0,NA,2015,2853,2854
1370,572,464630,4808061,0,0,0,NA,2015,8423,8424
1371,573,466750,4806968,0,0,0,NA,2015,5479,5480
1372,574,471417,4808536,0,0,0,NA,2015,10237,10238
1373,575,475591,4806087,0,0,0,NA,2015,9732,9733
1374,576,426517,4808800,0,0,0,NA,2015,7652,7653
1375,577,427119,4811845,0,0,0,NA,2015,7652,7653
1376,578,434060,4812082,1,0,0,NA,2015,11321,11322
1377,579,467165,4810682,0,0,0,NA,2015,12131,12132
1378,580,472135,4811909,0,1,0,NA,2015,5557,5558
1379,581,426254,4814454,0,0,0,NA,2015,8488,8489
1380,582,429718,4814110,0,0,0,NA,2015,2914,2915
1381,583,434166,4814513,0,0,0,NA,2015,11321,11322
1382,584,413657,4818189,0,0,1,NA,2015,5249,5250
1383,585,416239,4817614,0,0,1,NA,2015,9462,9463
1384,586,427763,4819203,0,0,0,NA,2015,9970,9971
1385,587,413545,4822269,1,0,0,NA,2015,1625,1626
1386,588,418209,4822031,0,0,0,NA,2015,8450,8451
1387,589,413016,4827424,0,0,0,NA,2015,3919,3920
1388,590,417512,4825544,0,0,0,NA,2015,2772,2773
1389,591,421703,4825976,0,0,0,NA,2015,4951,4952
1390,592,417255,4829898,0,0,0,NA,2015,2062,2063
1391,593,420177,4830023,0,0,0,NA,2015,8162,8163
1392,594,417162,4833558,0,0,0,NA,2015,11668,11669
1393,595,420305,4834355,0,0,1,NA,2015,10193,10194
1394,596,416243,4837720,0,0,1,NA,2015,7404,7405
1395,597,421056,4837635,0,0,0,NA,2015,6525,6526
1396,598,417687,4841635,0,0,0,NA,2015,7289,7290
1397,599,420771,4841369,0,0,0,NA,2015,5519,5520
1398,600,441980,4852986,0,1,0,NA,2015,12885,12886
1399,601,444457,4853217,0,0,0,NA,2015,9996,9997
1400,602,447367,4852429,0,0,0,NA,2015,6678,6679
1401,603,436593,4856640,0,0,0,NA,2015,12626,12627
1402,604,438756,4855105,0,0,1,NA,2015,5536,5537
1403,605,443346,4856853,0,0,0,NA,2015,2884,2885
1404,606,337178,4783370,0,0,0,NA,2015,6384,6385
1405,607,340162,4783476,0,0,0,NA,2015,7569,7570
1406,608,342853,4783476,0,0,0,NA,2015,6962,6963
1407,609,347429,4698243,0,0,1,NA,2015,142,143
1408,610,351450,4697546,0,0,0,NA,2015,10371,10372
1409,611,349623,4700558,0,0,0,NA,2015,6530,6531
1410,612,355346,4701734,0,0,0,NA,2015,7082,7083
1411,613,352711,4705762,1,0,0,NA,2015,12539,12540
1412,614,184928,4709763,0,0,0,NA,2015,3720,3721
1413,615,153774,4712374,0,0,0,NA,2015,10353,10354
1414,616,185964,4713542,0,0,NA,NA,2015,7460,7461
1415,617,352532,4714781,1,0,0,NA,2015,5064,5065
1416,618,355817,4713440,0,0,0,NA,2015,11801,11802
1417,619,359422,4713642,0,0,0,NA,2015,1370,1371
1418,620,157868,4714352,0,1,0,NA,2015,10459,10460
1419,621,161932,4713733,0,0,0,NA,2015,6141,6142
1420,622,162171,4716039,0,0,1,NA,2015,723,724
1421,623,186164,4717363,0,0,0,NA,2015,6018,6019
1422,624,190299,4716219,0,0,1,NA,2015,6999,7000
1423,625,355974,4717326,1,0,0,NA,2015,6295,6296
1424,626,358826,4717632,0,0,0,NA,2015,9491,9492
1425,627,168697,4725606,0,0,1,NA,2015,1227,1228
1426,628,170266,4729493,0,0,0,NA,2015,966,967
1427,629,174162,4728779,0,0,0,NA,2015,10718,10719
1428,630,185664,4721056,0,0,0,NA,2015,4346,4347
1429,631,188204,4721024,0,NA,0,NA,2015,6036,6037
1430,632,201471,4722252,0,0,0,NA,2015,2083,2084
1431,633,204060,4720652,0,0,0,NA,2015,9934,9935
1432,634,218238,4721712,0,0,0,NA,2015,3199,3200
1433,635,258439,4721436,0,0,0,NA,2015,8110,8111
1434,636,278098,4722072,0,0,NA,NA,2015,10366,10367
1435,637,355303,4722156,0,0,0,NA,2015,3186,3187
1436,638,173671,4731504,NA,NA,NA,NA,2015,1383,1384
1437,639,200447,4725409,NA,NA,NA,NA,2015,5771,5772
1438,640,205292,4724903,0,1,0,NA,2015,3085,3086
1439,641,215055,4724576,0,0,0,NA,2015,9296,9297
1440,642,220211,4725317,0,1,1,NA,2015,4542,4543
1441,643,223824,4724361,0,0,0,NA,2015,2390,2391
1442,644,254282,4725124,0,0,0,NA,2015,805,806
1443,645,259100,4724602,0,0,0,NA,2015,7548,7549
1444,646,263734,4725043,0,0,0,NA,2015,1619,1620
1445,647,274433,4726573,0,0,0,NA,2015,9553,9554
1446,648,278325,4725920,0,0,0,NA,2015,5110,5111
