,sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,detection_history.o4,year,FID_allNY_,FID_allNY_10km
254,169,219935,4690638,0,0,0,1,2013,4012,4013
255,170,224702,4691985,1,0,0,0,2013,3042,3043
256,171,229311,4691426,1,1,0,0,2013,3130,3131
257,172,230441,4690391,0,0,0,1,2013,3130,3131
258,173,233733,4688748,0,0,0,0,2013,706,707
260,174,250980,4689157,0,1,0,1,2013,1542,1543
261,175,255373,4689244,0,0,0,1,2013,10968,10969
264,177,266232,4691891,0,0,0,0,2013,4236,4237
265,178,269638,4690444,0,0,1,0,2013,6148,6149
190,184,329384,4689633,0,0,0,0,2013,4554,4555
193,185,332794,4691738,0,0,0,0,2013,1615,1616
194,186,335770,4689490,0,0,0,0,2013,9010,9011
200,188,359183,4693148,1,0,0,1,2013,12151,12152
201,189,364264,4691282,0,0,NA,0,2013,4108,4109
205,191,382590,4690198,0,0,0,0,2013,7137,7138
206,192,387174,4690340,0,1,0,0,2013,9021,9022
112,193,404665,4689399,0,0,0,0,2013,5141,5142
102,198,452637,4690118,0,0,0,1,2013,12773,12774
103,199,455757,4690366,1,0,0,0,2013,62,63
56,200,493597,4689237,0,0,0,0,2013,8922,8923
57,201,498675,4691309,0,0,0,0,2013,6005,6006
58,203,510369,4690911,0,0,0,0,2013,12266,12267
59,204,513414,4689732,0,0,0,0,2013,12266,12267
60,205,521918,4690077,0,0,0,1,2013,12381,12382
266,215,218908,4692862,0,0,0,0,2013,12739,12740
267,216,225290,4695667,1,0,0,0,2013,8030,8031
268,217,226203,4693931,0,0,0,0,2013,6820,6821
269,218,232570,4692618,0,0,1,0,2013,7359,7360
270,219,236129,4694055,0,0,0,1,2013,6297,6298
271,220,238612,4694660,0,1,0,0,2013,2005,2006
272,221,246843,4695905,0,0,0,0,2013,10863,10864
273,222,251801,4695942,0,0,0,0,2013,7428,7429
274,223,255494,4694990,0,0,0,0,2013,9392,9393
278,224,269744,4696128,0,0,0,0,2013,199,200
279,225,272563,4695824,0,0,0,0,2013,9850,9851
202,228,363843,4693628,NA,NA,NA,NA,2013,4960,4961
113,229,396330,4693862,0,0,1,0,2013,11751,11752
114,230,401495,4694453,1,0,0,0,2013,1696,1697
115,231,405903,4693801,0,0,0,0,2013,10988,10989
105,235,455147,4693946,0,1,1,1,2013,3761,3762
61,238,492745,4695120,0,0,0,0,2013,5624,5625
62,239,495008,4695053,0,0,0,0,2013,7050,7051
63,240,499949,4695251,1,0,0,0,2013,9239,9240
64,241,501471,4695311,0,0,1,0,2013,362,363
66,242,510462,4695638,0,0,1,0,2013,630,631
67,244,518851,4693991,1,1,0,1,2013,11570,11571
68,245,521667,4695442,0,0,0,0,2013,4425,4426
281,256,223877,4698554,0,0,0,0,2013,7842,7843
282,257,226184,4698763,0,0,0,1,2013,2429,2430
283,258,247507,4697588,0,0,0,0,2013,10863,10864
284,259,250552,4699308,0,0,0,0,2013,3462,3463
285,260,253557,4699868,0,0,0,0,2013,151,152
288,261,266932,4699066,0,0,0,0,2013,5468,5469
289,262,269529,4696701,0,1,1,0,2013,199,200
210,264,386235,4697351,1,0,0,0,2013,12175,12176
211,265,390633,4698564,0,0,0,0,2013,8723,8724
212,266,393737,4697318,0,0,0,0,2013,3615,3616
116,268,402547,4696394,0,0,0,NA,2013,9575,9576
117,269,406490,4698013,0,0,0,0,2013,2204,2205
106,272,456642,4696803,1,0,0,0,2013,8108,8109
69,276,513855,4698988,0,0,0,1,2013,11106,11107
290,291,259133,4702049,0,0,0,0,2013,11825,11826
291,292,261927,4701352,0,0,0,0,2013,5091,5092
292,293,264426,4700475,0,0,0,0,2013,11909,11910
213,302,389726,4702110,NA,NA,0,0,2013,7622,7623
118,305,401976,4701652,0,0,0,0,2013,4933,4934
119,306,407378,4703187,0,0,1,0,2013,3411,3412
107,307,460317,4700806,0,0,0,0,2013,7207,7208
120,308,464495,4703931,1,1,0,1,2013,4644,4645
293,322,252298,4707360,0,0,0,0,2013,12030,12031
294,323,255989,4705239,0,0,1,1,2013,8320,8321
295,324,262536,4704955,0,0,0,0,2013,2791,2792
296,325,267944,4704892,0,0,0,0,2013,6715,6716
121,341,461420,4706562,0,0,0,0,2013,6601,6602
297,354,254601,4709664,0,0,0,0,2013,3948,3949
298,355,263523,4709672,1,1,0,0,2013,3496,3497
122,366,459896,4710229,0,0,0,0,2013,8164,8165
123,367,464557,4708742,0,0,0,0,2013,6093,6094
124,382,464447,4712557,0,0,0,1,2013,291,292
125,394,467797,4717482,0,0,0,0,2013,8007,8008
126,408,466737,4720984,0,0,1,0,2013,3886,3887
8,1408,456028,4662213,0,0,0,0,2013,904,905
11,1411,468796,4662454,0,0,0,0,2013,2840,2841
12,1412,470603,4664123,0,1,0,0,2013,2172,2173
13,1413,455667,4668376,0,0,0,0,2013,8121,8122
14,1414,460875,4666481,0,0,0,0,2013,7634,7635
15,1415,463460,4668820,0,0,0,0,2013,2004,2005
16,1416,467586,4667690,0,0,0,0,2013,3791,3792
17,1417,470233,4668353,0,0,0,0,2013,7530,7531
18,1418,474298,4669228,0,0,0,0,2013,10361,10362
19,1419,480133,4668119,0,0,0,0,2013,2726,2727
20,1420,482767,4666468,0,1,0,0,2013,8881,8882
21,1421,456792,4671125,0,0,0,0,2013,431,432
22,1422,460890,4672581,0,0,1,0,2013,230,231
23,1423,463150,4671825,0,0,0,0,2013,9447,9448
27,1427,480509,4671932,0,0,0,0,2013,7552,7553
28,1428,483151,4671737,0,0,1,0,2013,3231,3232
