FID,Station,o1,o2,o3,o4,o5,year,utm_x,utm_y,FID_allNY_,FID_allNY_10km
84,3B5,0,0,0,1,1,2017,549718.224,4641515.246,1795,1796
76,3B6,1,0,1,0,0,2017,552511.218,4638677.312,11679,11680
88,3B7,0,0,0,0,0,2017,555686.372,4642959.637,1493,1494
110,3B8,0,1,0,1,1,2017,543104.689,4648864.627,5520,5521
66,3B9,1,0,1,0,1,2017,548696.253,4633810.287,9982,9983
30,3C1,NA,1,1,1,0,2017,523032,4598902,888,889
25,3C10,1,1,1,1,0,2017,516938,4597663,8248,8249
40,3C11,0,1,1,1,1,2017,517918,4600722,10899,10900
17,3C13,1,1,0,0,1,2017,522888,4595940,11060,11061
6,3C15,0,1,1,1,1,2017,523672,4593435,5844,5845
34,3C2,1,1,1,NA,1,2017,526706,4600420,7673,7674
1,3C3,1,1,1,1,1,2017,521156,4588541,11861,11862
15,3C4,0,1,1,1,1,2017,510182,4595117,8343,8344
20,3C5,0,0,1,1,0,2017,529307,4596510,12864,12865
23,3C6,0,0,0,NA,0,2017,519980,4596543,11060,11061
50,3C7,1,0,1,1,1,2017,517642,4603025,10899,10900
4,3C8,1,1,1,1,1,2017,519891,4592161,10093,10094
37,3C9,1,1,1,0,1,2017,515810,4600498,9596,9597
62,3D1,1,1,1,1,1,2017,549454,4610704,7911,7912
31,3D10,0,0,0,1,0,2017,544840,4599130,7710,7711
11,3D2,0,0,1,0,1,2017,545921,4595084,1061,1062
56,3D3,0,0,0,1,0,2017,553682,4605616,5324,5325
27,3D4,1,0,0,0,0,2017,540877,4598371,4354,4355
45,3D5,0,1,0,0,1,2017,550132,4600988,595,596
42,3D6,0,0,0,0,0,2017,554909,4600839,5341,5342
8,3D7,0,0,0,0,0,2017,552426,4593736,8070,8071
59,3D8,NA,NA,0,1,0,2017,546658,4607267,12080,12081
52,3D9,1,1,1,1,1,2017,545999,4603874,9954,9955
660,4A1,0,0,0,0,0,2017,495817.652,4718790.111,12482,12483
636,4A10,0,0,0,0,0,2017,499159,4716645,1012,1013
665,4A12,0,0,0,0,0,2017,490876,4721118,2811,2812
630,4A13,NA,0,0,0,0,2017,498746,4715460,1012,1013
632,4A14,0,0,0,0,0,2017,494597,4716111,9600,9601
670,4A2,0,0,0,0,0,2017,497121.643,4722937.952,7650,7651
657,4A3,0,0,0,0,0,2017,500215,4717928,11286,11287
611,4A4,0,0,0,0,0,2017,497296,4712995,10033,10034
596,4A5,0,0,0,0,0,2017,505190,4711408,10689,10690
646,4A6,0,0,0,0,0,2017,491638.366,4717250.42,6821,6822
619,4A7,0,0,0,0,0,2017,491495.854,4714073.722,134,135
669,4A8,0,0,0,0,0,2017,490991,4722654,2811,2812
664,4A9,0,0,0,0,0,2017,492947.447,4720922.428,7189,7190
586,4B1,0,0,0,0,0,2017,509564,4710090,9935,9936
567,4B10,0,0,0,0,1,2017,514661,4708994,4121,4122
600,4B11,0,0,0,0,0,2017,520447,4712181,9338,9339
556,4B2,0,0,0,0,0,2017,519815,4707959,9609,9610
641,4B3,0,0,0,0,0,2017,523369,4717109,6690,6691
602,4B4,0,0,0,1,1,2017,518603,4712323,3382,3383
639,4B5,0,0,0,0,0,2017,511424,4716863,9648,9649
537,4B6,0,1,0,0,0,2017,512028,4705442,8286,8287
606,4B7,0,0,0,0,0,2017,525358,4712580,1263,1264
114,4B8,0,0,0,0,0,2017,529888.072,4649839.209,8077,8078
492,4B9,0,0,0,0,0,2017,513891,4699218,11106,11107
115,4C1,1,1,0,1,0,2017,505626,4649850,7245,7246
146,4C10,0,NA,1,1,1,2017,508005,4654290,6144,6145
163,4C11,1,1,1,1,1,2017,512275,4656493,6451,6452
129,4C13,1,1,1,1,1,2017,513525,4651757,1720,1721
142,4C14,0,0,1,1,1,2017,512298,4653836,1962,1963
128,4C2,1,1,1,1,1,2017,513085,4651582,1962,1963
159,4C3,1,1,1,1,0,2017,518072,4655495,761,762
138,4C4,0,0,0,0,0,2017,505540,4653282,4697,4698
135,4C5,0,1,1,1,0,2017,510237,4652789,4331,4332
150,4C6,1,1,1,1,1,2017,515407,4654438,3407,3408
153,4C7,0,1,1,0,1,2017,504344,4655346,7735,7736
165,4C8,0,0,0,1,1,2017,521226,4658928,9865,9866
160,4C9,0,1,1,1,1,2017,507124,4655586,7735,7736
176,4D1,0,0,1,0,0,2017,466183,4668721,3791,3792
185,4D10,0,0,0,0,1,2017,463301,4671603,9447,9448
178,4D11,0,0,1,1,1,2017,463504,4668978,2004,2005
183,4D12,1,1,1,1,1,2017,467420,4670299,7043,7044
171,4D13,1,1,0,1,NA,2017,468574,4667142,3791,3792
182,4D2,1,0,1,1,1,2017,469325,4669693,7317,7318
194,4D3,1,0,0,0,1,2017,461087,4672536,230,231
170,4D4,1,1,1,1,1,2017,468775,4663636,10153,10154
189,4D5,1,0,0,1,0,2017,470676,4671885,7317,7318
192,4D6,1,1,0,0,1,2017,468424,4672416,7043,7044
174,4D7,1,0,1,1,1,2017,471388.196,4667834.527,7530,7531
199,4D8,1,1,1,1,0,2017,471541,4673945,3892,3893
203,4D9,0,0,0,0,0,2017,463687,4675267,8060,8061
645,7A1,1,0,0,0,0,2017,421009.687,4717201.701,12361,12362
608,7A10,0,0,0,0,0,2017,428235.137,4712603.391,685,686
634,7A11,0,0,0,0,0,2017,418551.214,4716182.839,9729,9730
617,7A12,0,0,0,0,0,2017,420800.39,4713739.137,12519,12520
599,7A13,0,0,0,0,0,2017,423823.418,4711558.665,3097,3098
560,7A2,0,0,0,0,0,2017,428244.675,4708273.361,5915,5916
621,7A3,0,0,0,0,0,2017,425471.31,4714085.053,4766,4767
592,7A4,0,0,0,0,0,2017,418331.714,4711327.794,2886,2887
